title,description,r,g,b,
腐植質普通非アロフェン質黒ボク土,「腐植質表層」をもつ普通非アロフェン質黒ボク土。,145,102,68,
アロフェン質黒ボク土,非晶質粘土鉱物（アロフェン）主体の黒ボク土。,138,69,0,
水田化アロフェン質黒ボク土,水田利用による湛水期間中に代かき層から還元溶脱した鉄が下部の酸化的な層で酸化沈殿して形成された「水田鉄集積層」をもつアロフェン質黒ボク土。,136,69,0,
岩盤質水田化アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる水田化アロフェン質黒ボク土。,136,71,0,
礫質水田化アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる水田化アロフェン質黒ボク土。,136,73,0,
下層低地水田化アロフェン質黒ボク土,土壌表面から75cm以内に積算して厚さ25cm以上の「沖積堆積物」からなる層をもつ水田化アロフェン質黒ボク土。,136,75,0,
淡色水田化アロフェン質黒ボク土,「腐植質表層」または「多腐植質表層」をもたない水田化アロフェン質黒ボク土。,136,77,0,
厚層水田化アロフェン質黒ボク土,厚さ50cm以上の「腐植質表層」または「多腐植質表層」をもつ水田化アロフェン質黒ボク土。,136,79,0,
多腐植質水田化アロフェン質黒ボク土,「多腐植質表層」をもつ水田化アロフェン質黒ボク土。,136,81,0,
腐植質水田化アロフェン質黒ボク土,「腐植質表層」をもつ水田化アロフェン質黒ボク土。,136,83,0,
下層台地アロフェン質黒ボク土,土壌表面から50cm以内に黒ボク土とは異なる台地土壌の上端が現れるアロフェン質黒ボク土。,134,69,0,
岩盤質下層台地アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる下層台地アロフェン質黒ボク土。,134,71,0,
礫質下層台地アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる下層台地アロフェン質黒ボク土。,134,73,0,
淡色下層台地アロフェン質黒ボク土,「腐植質表層」または「多腐植質表層」をもたない下層台地アロフェン質黒ボク土。,134,75,0,
多腐植質下層台地アロフェン質黒ボク土,「多腐植質表層」をもつ下層台地アロフェン質黒ボク土。,134,77,0,
腐植質下層台地アロフェン質黒ボク土,「腐植質表層」をもつ下層台地アロフェン質黒ボク土。,134,79,0,
下層低地アロフェン質黒ボク土,土壌表面から75cm以内に積算して25cm以上の河川氾濫堆積物（沖積堆積物）からなる層をもつアロフェン質黒ボク土。,132,69,0,
礫質下層低地アロフェン質黒ボク土,土壌表面から60cm以内に礫層または岩盤が現れる下層低地アロフェン質黒ボク土。,132,71,0,
淡色下層低地アロフェン質黒ボク土,「腐植質表層」または「多腐植質表層」をもたない下層低地アロフェン質黒ボク土。,132,73,0,
多腐植質下層低地アロフェン質黒ボク土,「多腐植質表層」をもつ下層低地アロフェン質黒ボク土。,132,75,0,
腐植質下層低地アロフェン質黒ボク土,「腐植質表層」をもつ下層低地アロフェン質黒ボク土。,132,77,0,
厚層アロフェン質黒ボク土,表層に有機物を多く含み、かつ、層の厚さが50cmを超える「腐植質表層」または「多腐植質表層」をもつアロフェン質黒ボク土 。,130,69,0,
岩盤質厚層アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる厚層アロフェン質黒ボク土。,130,71,0,
礫質厚層アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる厚層アロフェン質黒ボク土。,130,73,0,
盤層型厚層アロフェン質黒ボク土,土壌表面から60cm以内に盤層が現れる厚層アロフェン質黒ボク土。,130,75,0,
多腐植質厚層アロフェン質黒ボク土,「多腐植質表層」をもつ厚層アロフェン質黒ボク土。,130,77,0,
腐植質厚層アロフェン質黒ボク土,「腐植質表層」をもつ厚層アロフェン質黒ボク土。,130,79,0,
淡色アロフェン質黒ボク土,表層の有機物含量は低く、土色は淡いアロフェン質黒ボク土。,128,69,0,
岩盤質淡色アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる淡色アロフェン質黒ボク土。,128,71,0,
礫質淡色アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる淡色アロフェン質黒ボク土。,128,73,0,
盤層型淡色アロフェン質黒ボク土,土壌表面から60cm以内に盤層が現れる淡色アロフェン質黒ボク土。,128,75,0,
埋没腐植質淡色アロフェン質黒ボク土,土壌表面から50cm以内に「埋没腐植層」の上端が現れる淡色アロフェン質黒ボク土。,128,77,0,
典型淡色アロフェン質黒ボク土,典型的な淡色アロフェン質黒ボク土。,128,79,0,
埋没腐植質アロフェン質黒ボク土,過去に表層であった層で、かつ、有機物が蓄積した「埋没腐植層」の上端が土壌表面から50cm以内に現れるアロフェン質黒ボク土。,126,69,0,
岩盤質埋没腐植質アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる埋没腐植質アロフェン質黒ボク土。,126,71,0,
礫質埋没腐植質アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる埋没腐植質アロフェン質黒ボク土。,126,73,0,
盤層型埋没腐植質アロフェン質黒ボク土,土壌表面から60cm以内に盤層が現れる埋没腐植質アロフェン質黒ボク土。,126,75,0,
典型埋没腐植質アロフェン質黒ボク土,典型的な埋没腐植質アロフェン質黒ボク土。,126,77,0,
普通アロフェン質黒ボク土,典型的なアロフェン質黒ボク土。,124,69,0,
岩盤質普通アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる普通アロフェン質黒ボク土。,124,71,0,
礫質普通アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる普通アロフェン質黒ボク土。,124,73,0,
盤層型普通アロフェン質黒ボク土,土壌表面から60cm以内に盤層が現れる普通アロフェン質黒ボク土。,124,75,0,
多腐植質普通アロフェン質黒ボク土,「多腐植質表層」をもつ普通アロフェン質黒ボク土。,124,77,0,
腐植質普通アロフェン質黒ボク土,「腐植質表層」をもつ普通アロフェン質黒ボク土。,124,79,0,
石灰性暗赤色土,石灰岩など石灰質の母材から出来た土壌。,115,0,76,
粘土集積石灰性暗赤色土,「粘土集積層」をもつ石灰性暗赤色土。,117,0,76,
岩盤質粘土集積石灰性暗赤色土,土壌表面から60cm以内に岩盤が現れる粘土集積石灰性暗赤色土。,117,2,76,
礫質粘土集積石灰性暗赤色土,土壌表面から60cm以内に礫層が現れる粘土集積石灰性暗赤色土。,117,4,76,
典型粘土集積石灰性暗赤色土,典型的な粘土集積石灰性暗赤色土。,117,6,76,
普通石灰性暗赤色土,典型的な石灰性暗赤色土。,119,0,76,
岩盤質普通石灰性暗赤色土,土壌表面から60cm以内に岩盤が現れる普通石灰性暗赤色土。,119,2,76,
礫質普通石灰性暗赤色土,土壌表面から60cm以内に礫層が現れる普通石灰性暗赤色土。,119,4,76,
典型普通石灰性暗赤色土,典型的な普通石灰性暗赤色土。,119,6,76,
酸性暗赤色土,暗赤色の次表層の一部で酸性（pHが5.5未満）を示す土壌。,168,0,132,
粘土集積酸性暗赤色土,「粘土集積層」をもつ酸性暗赤色土。,170,0,132,
岩盤質粘土集積酸性暗赤色土,土壌表面から60cm以内に岩盤が現れる粘土集積酸性暗赤色土。,170,2,132,
礫質粘土集積酸性暗赤色土,土壌表面から60cm以内に礫層が現れる粘土集積酸性暗赤色土。,170,4,132,
典型粘土集積酸性暗赤色土,典型的な粘土集積酸性暗赤色土。,170,6,132,
