title,description,r,g,b,
中粗粒質普通疑似グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である普通疑似グライ土。,173,247,115,
褐色森林土,火山灰の影響の少ない山地・丘陵地に分布する褐色あるいは黄褐色の「風化変質層」をもつ土壌。,34,140,34,
湿性褐色森林土,土壌表面から75cm以内に「表面水湿性特徴」または「地下水湿性特徴」を示す層の上端が現れる褐色森林土。,36,140,34,
岩盤質湿性褐色森林土,土壌表面から60cm以内に岩盤が現れる湿性褐色森林土。,36,142,34,
礫質湿性褐色森林土,土壌表面から60cm以内に礫層が現れる湿性褐色森林土。,36,144,34,
細粒質湿性褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である湿性褐色森林土。,36,146,34,
中粗粒質湿性褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である湿性褐色森林土。,36,148,34,
水田化褐色森林土,「水田鉄集積層」をもつ褐色森林土。,38,140,34,
岩盤質水田化褐色森林土,土壌表面から60cm以内に岩盤が現れる水田化褐色森林土。,38,142,34,
礫質水田化褐色森林土,土壌表面から60cm以内に礫層が現れる水田化褐色森林土。,38,144,34,
細粒質水田化褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田化褐色森林土。,38,146,34,
中粗粒質水田化褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である水田化褐色森林土。,38,148,34,
下層赤黄色褐色森林土,土壌表面から75cm以内に「赤黄色特徴」を示す「風化変質層」または「粘土集積層」をもつ褐色森林土。,40,140,34,
岩盤質下層赤黄色褐色森林土,土壌表面から60cm以内に岩盤が現れる下層赤黄色褐色森林土。,40,142,34,
礫質下層赤黄色褐色森林土,土壌表面から60cm以内に礫層が現れる下層赤黄色褐色森林土。,40,144,34,
細粒質下層赤黄色褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である下層赤黄色褐色森林土。,40,146,34,
中粗粒質下層赤黄色褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である下層赤黄色褐色森林土。,40,148,34,
腐植質褐色森林土,「腐植質表層」または「多腐植質表層」をもつ褐色森林土。,42,140,34,
岩盤質腐植質褐色森林土,土壌表面から60cm以内に岩盤が現れる腐植質褐色森林土。,42,142,34,
礫質腐植質褐色森林土,土壌表面から60cm以内に礫層が現れる腐植質褐色森林土。,42,144,34,
細粒質腐植質褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質褐色森林土。,42,146,34,
中粗粒質腐植質褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質褐色森林土。,42,148,34,
台地褐色森林土,洪積世堆積物（更新世の河成、海成、湖沼成の古い未固結堆積物）を母材とする褐色森林土。,44,140,34,
岩盤質台地褐色森林土,土壌表面から60cm以内に岩盤が現れる台地褐色森林土。,44,142,34,
礫質台地褐色森林土,土壌表面から60cm以内に礫層が現れる台地褐色森林土。,44,144,34,
細粒質台地褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である台地褐色森林土。,44,146,34,
中粗粒質台地褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である台地褐色森林土。,44,148,34,
塩基型褐色森林土,次表層の全ての亜層位でpH(H2O)が6.5以上である褐色森林土。,46,140,34,
岩盤質塩基型褐色森林土,土壌表面から60cm以内に岩盤が現れる塩基型褐色森林土。,46,142,34,
礫質塩基型褐色森林土,土壌表面から60cm以内に礫層が現れる塩基型褐色森林土。,46,144,34,
細粒質塩基型褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である塩基型褐色森林土。,46,146,34,
中粗粒質塩基型褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である塩基型褐色森林土。,46,148,34,
ばん土質褐色森林土,土壌表面から50cm以内にリン酸吸収係数1000mg P2O5/100g以上（リン酸保持量60％以上）の層が25cm以上ある褐色森林土。,48,140,34,
岩盤質ばん土質褐色森林土,土壌表面から60cm以内に岩盤が現れるばん土質褐色森林土。,48,142,34,
礫質ばん土質褐色森林土,土壌表面から60cm以内に礫層が現れるばん土質褐色森林土。,48,144,34,
細粒質ばん土質褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土であるばん土質褐色森林土。,48,146,34,
中粗粒質ばん土質褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土であるばん土質褐色森林土。,48,148,34,
ポドゾル化褐色森林土,「ポドゾル性集積層（断面形態）」または「ポドゾル性集積層（分析値）」をもつ褐色森林土。,50,140,34,
岩盤質ポドゾル化褐色森林土,土壌表面から60cm以内に岩盤が現れるポドゾル化褐色森林土。,50,142,34,
礫質ポドゾル化褐色森林土,土壌表面から60cm以内に礫層が現れるポドゾル化褐色森林土。,50,144,34,
細粒質ポドゾル化褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土であるポドゾル化褐色森林土。,50,146,34,
中粗粒質ポドゾル化褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土であるポドゾル化褐色森林土。,50,148,34,
普通褐色森林土,典型的な褐色森林土。,52,140,34,
岩盤質普通褐色森林土,土壌表面から60cm以内に岩盤が現れる普通褐色森林土。,52,142,34,
礫質普通褐色森林土,土壌表面から60cm以内に礫層が現れる普通褐色森林土。,52,144,34,
細粒質普通褐色森林土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通褐色森林土。,52,146,34,
中粗粒質普通褐色森林土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である普通褐色森林土。,52,148,34,
火山放出物未熟土,層位分化が未発達で、土壌表面から50cm以内に積算で厚さ25cm以上の「火山放出物」からなる層をもつ土壌。,211,181,141,
湿性火山放出物未熟土,土壌表面から50cm以内に「グライ特徴」または「地下水湿性特徴」を示す層の上端が現れる火山放出物未熟土。,213,181,141,
下層泥炭湿性火山放出物未熟土,土壌表面から75cm以内に積算して25cm以上の「泥炭物質」からなる層をもつ湿性火山放出物未熟土。,213,183,141,
下層低地湿性火山放出物未熟土,土壌表面から75cm以内に積算して25cm以上の「沖積堆積物」をもつ層をもつ湿性火山放出物未熟土。,213,185,141,
典型湿性火山放出物未熟土,典型的な湿性火山放出物未熟土。,213,187,141,
普通火山放出物未熟土,典型的な火山放出物未熟土。,215,181,141,
盤層型普通火山放出物未熟土,土壌表面から60cm以内に盤層が現れる普通火山放出物未熟土。,215,183,141,
下層低地普通火山放出物未熟土,土壌表面から75cm以内に積算して25cm以上の「沖積堆積物」からなる層をもつ普通火山放出物未熟土。,215,185,141,
下層黒ボク普通火山放出物未熟土,土壌表面から100cm以内に積算して25cm以上の「黒ボク特徴」をもつ層をもつ普通火山放出物未熟土。,215,187,141,
典型普通火山放出物未熟土,典型的な普通火山放出物未熟土。,215,189,141,
砂質未熟土,土壌表面から100cmまで、石礫含量が断面割合で35％未満で、かつ、土性は壌質砂土、またはそれより粗い。ただし、石灰質、サンゴ質の砂も含む。,238,216,175,
湿性砂質未熟土,土壌表面から75cm以内に「グライ特徴」または「地下水湿性特徴」を示す層の上端が現れる砂質未熟土。,240,216,175,
典型湿性砂質未熟土,すべての湿性砂質未熟土。,240,218,175,
石灰質砂質未熟土,土壌表面から20-50㎝の間で、炭酸カルシウム換算で2.0％以上の炭酸塩を含む砂質未熟土。,242,216,175,
典型石灰質砂質未熟土,すべての石灰質砂質未熟土。,242,218,175,
普通砂質未熟土,典型的な砂質未熟土。,242,220,175,
典型普通砂質未熟土,すべての普通砂質未熟土。,242,222,175,
固結岩屑土,土壌表面から30cm以内に固結した岩盤が現れる土壌。,204,204,0,
湿性固結岩屑土,土壌表面から岩盤までの間に「グライ特徴」または「地下水湿性特徴」を示す層の上端が現れる固結岩屑土。,206,204,0,
典型湿性固結岩屑土,すべての湿性固結岩屑土。,206,206,0,
石灰質固結岩屑土,岩盤上の層が炭酸カルシウム換算で2.0％以上の炭酸塩を含む固結岩屑土。,208,204,0,
暗色表層石灰質固結岩屑土,「富塩基暗色表層」をもち、かつ、岩盤上の層が炭酸カルシウム換算で2.0％以上の炭酸塩を含む固結岩屑土。,208,206,0,
典型石灰質固結岩屑土,典型的な石灰質固結岩屑土。,208,208,0,
普通固結岩屑土,典型的な固結岩屑土。,210,204,0,
典型普通固結岩屑土,すべての普通固結岩屑土。,210,206,0,
陸成未熟土,層位分化が進んでおらず、母材そのものの物理的・化学的性質の影響を強く受けている土壌。,255,255,0,
花崗岩型陸成未熟土,花崗岩に由来する陸成未熟土。,253,255,0,
典型花崗岩型陸成未熟土,すべての花崗岩型陸成未熟土。,253,253,0,
石灰質陸成未熟土,土壌表面から20-50cmの間で炭酸カルシウム換算で2.0％以上の炭酸塩を含む陸成未熟土。,251,255,0,
暗色表層石灰質陸成未熟土,「富塩基暗色表層」をもち、かつ、土壌表面から20-50cmの間で炭酸カルシウム換算で2.0％以上の炭酸塩を含む陸成未熟土。,251,253,0,
典型石灰質陸成未熟土,典型的な石灰質陸成未熟土。,251,251,0,
泥灰岩質陸成未熟土,泥灰岩に由来し、土壌表面から100cm、または基岩までの全ての層位で粘土含量が30％以上である陸成未熟土。,249,255,0,
湿性泥灰岩質陸成未熟土,土壌表面から75㎝以内に「グライ特徴」または「地下水湿性特徴」を示す層の上端が現れる泥灰岩質陸成未熟土。,249,253,0,
典型泥灰岩質陸成未熟土,典型的な泥灰岩質陸成未熟土。,249,251,0,
軟岩型陸成未熟土,礫または岩盤がコテ、シャベルで削れる陸成未熟土。,247,255,0,
典型軟岩型陸成未熟土,すべての軟岩型陸成未熟土。,247,253,0,
普通陸成未熟土,典型的な陸成未熟土。,245,255,0,
典型普通陸成未熟土,すべての普通陸成未熟土。,245,253,0,
,不明,255,255,255,
岩石地,岩石地,255,255,254,
,,,,,
